CustomerID,Recency,Frequency,Monetary,Recency_segment,Frequency_segment,Monetary_segment,Campanha,CAC,ROI,Lucro_Cliente,Ultima_Compra,Dias_Sem_Comprar,Grupo
12347.0,2,7,4310.0,0-50,5-10,4000-6000,CMP034,1403.19,2.0716,2906.81,2011-12-07,2,Regular
12348.0,75,4,1437.24,50-100,0-5,0-2000,CMP012,440.78,2.2607,996.46,2011-09-25,75,Regular
12349.0,19,1,1457.55,0-50,0-5,0-2000,CMP046,1856.27,-0.2148,-398.72,2011-11-20,19,Regular
12350.0,310,1,294.40000000000003,300-350,0-5,0-2000,CMP031,1157.44,-0.7456,-863.04,2011-02-02,310,Ocasional
12352.0,36,7,1385.74,0-50,5-10,0-2000,CMP043,1290.94,0.0734,94.8,2011-11-03,36,Regular
12353.0,204,1,89.0,200-250,0-5,0-2000,CMP040,1656.14,-0.9463,-1567.14,2011-05-19,204,Ocasional
12354.0,232,1,1079.4,200-250,0-5,0-2000,CMP025,1048.37,0.0296,31.03,2011-04-21,232,Ocasional
12355.0,214,1,459.4,200-250,0-5,0-2000,CMP041,1369.84,-0.6646,-910.44,2011-05-09,214,Ocasional
12356.0,23,3,2487.43,0-50,0-5,2000-4000,CMP009,327.94,6.585,2159.49,2011-11-16,23,Regular
12357.0,33,1,6207.67,0-50,0-5,6000-8000,CMP019,593.24,9.464,5614.43,2011-11-06,33,Regular
12358.0,2,2,928.06,0-50,0-5,0-2000,CMP005,191.74,3.8402,736.32,2011-12-07,2,Regular
12359.0,58,4,6310.03,50-100,0-5,6000-8000,CMP027,863.77,6.3052,5446.26,2011-10-12,58,Regular
12360.0,52,3,2302.06,50-100,0-5,2000-4000,CMP029,1146.55,1.0078,1155.51,2011-10-18,52,Regular
12361.0,287,1,174.9,250-300,0-5,0-2000,CMP008,409.05,-0.5724,-234.15,2011-02-25,287,Ocasional
12362.0,3,10,4737.2300000000005,0-50,10-15,4000-6000,CMP043,1290.94,2.6696,3446.29,2011-12-06,3,Engajado
12363.0,110,2,552.0,100-150,0-5,0-2000,CMP017,524.29,0.0529,27.71,2011-08-21,110,Regular
12364.0,8,4,1208.1,0-50,0-5,0-2000,CMP015,458.19,1.6367,749.91,2011-12-01,8,Regular
12365.0,291,1,320.69,250-300,0-5,0-2000,CMP023,517.75,-0.3806,-197.06,2011-02-21,291,Ocasional
12367.0,4,1,150.9,0-50,0-5,0-2000,CMP004,327.19,-0.5388,-176.29,2011-12-05,4,Regular
12370.0,51,4,3421.94,50-100,0-5,2000-4000,CMP042,1705.66,1.0062,1716.28,2011-10-19,51,Regular
12371.0,60,1,1527.96,50-100,0-5,0-2000,CMP008,409.05,2.7354,1118.91,2011-10-10,60,Regular
12372.0,72,3,1196.04,50-100,0-5,0-2000,CMP047,1540.55,-0.2236,-344.51,2011-09-28,72,Regular
12373.0,311,1,324.6,300-350,0-5,0-2000,CMP031,1157.44,-0.7196,-832.84,2011-02-01,311,Ocasional
12374.0,25,1,622.9300000000001,0-50,0-5,0-2000,CMP012,440.78,0.4132,182.15,2011-11-14,25,Regular
12375.0,11,2,377.5,0-50,0-5,0-2000,CMP001,258.61,0.4597,118.89,2011-11-28,11,Regular
12377.0,315,2,1548.12,300-350,0-5,0-2000,CMP032,842.78,0.8369,705.34,2011-01-28,315,Ocasional
12378.0,130,1,4008.62,100-150,0-5,4000-6000,CMP039,1875.82,1.137,2132.8,2011-08-01,130,Regular
12379.0,82,2,777.24,50-100,0-5,0-2000,CMP029,1146.55,-0.3221,-369.31,2011-09-18,82,Regular
12380.0,22,4,2427.81,0-50,0-5,2000-4000,CMP041,1369.84,0.7723,1057.97,2011-11-17,22,Regular
12381.0,5,3,1474.81,0-50,0-5,0-2000,CMP008,409.05,2.6055,1065.76,2011-12-04,5,Regular
12383.0,185,5,1628.56,150-200,5-10,0-2000,CMP028,1090.24,0.4938,538.32,2011-06-07,185,Ocasional
12384.0,29,2,425.27,0-50,0-5,0-2000,CMP010,360.67,0.1791,64.6,2011-11-10,29,Regular
12386.0,338,2,401.9,300-350,0-5,0-2000,CMP035,1415.25,-0.716,-1013.35,2011-01-05,338,Ocasional
12388.0,16,6,2780.6600000000003,0-50,5-10,2000-4000,CMP036,1302.05,1.1356,1478.61,2011-11-23,16,Regular
12390.0,80,1,504.84,50-100,0-5,0-2000,CMP016,459.04,0.0998,45.8,2011-09-20,80,Regular
12391.0,22,1,439.66,0-50,0-5,0-2000,CMP007,161.77,1.7178,277.89,2011-11-17,22,Regular
12393.0,72,4,1582.6,50-100,0-5,0-2000,CMP026,1285.33,0.2313,297.27,2011-09-28,72,Regular
12394.0,64,2,1080.48,50-100,0-5,0-2000,CMP016,459.04,1.3538,621.44,2011-10-06,64,Regular
12395.0,19,12,2682.63,0-50,10-15,2000-4000,CMP040,1656.14,0.6198,1026.49,2011-11-20,19,Regular
12397.0,36,2,2214.9,0-50,0-5,2000-4000,CMP037,1534.16,0.4437,680.74,2011-11-03,36,Regular
12398.0,46,1,1435.66,0-50,0-5,0-2000,CMP038,1347.91,0.0651,87.75,2011-10-24,46,Regular
12399.0,119,4,1033.65,100-150,0-5,0-2000,CMP021,690.41,0.4972,343.24,2011-08-12,119,Regular
12401.0,303,1,69.3,300-350,0-5,0-2000,CMP004,327.19,-0.7882,-257.89,2011-02-09,303,Ocasional
12402.0,323,1,195.6,300-350,0-5,0-2000,CMP026,1285.33,-0.8478,-1089.73,2011-01-20,323,Ocasional
12403.0,50,1,391.7,50-100,0-5,0-2000,CMP030,753.44,-0.4801,-361.74,2011-10-20,50,Regular
12405.0,149,1,1390.39,100-150,0-5,0-2000,CMP024,557.84,1.4925,832.55,2011-07-13,149,Ocasional
12406.0,22,2,3415.3,0-50,0-5,2000-4000,CMP041,1369.84,1.4932,2045.46,2011-11-17,22,Regular
12407.0,50,5,1507.12,50-100,5-10,0-2000,CMP022,435.33,2.462,1071.79,2011-10-20,50,Regular
12408.0,33,5,2618.55,0-50,5-10,2000-4000,CMP033,766.84,2.4147,1851.71,2011-11-06,33,Regular
12409.0,79,3,11072.67,50-100,0-5,10000-12000,CMP030,753.44,13.6962,10319.23,2011-09-21,79,Engajado
12410.0,309,2,533.33,300-350,0-5,0-2000,CMP003,367.99,0.4493,165.34,2011-02-03,309,Ocasional
12412.0,75,3,1142.88,50-100,0-5,0-2000,CMP009,327.94,2.485,814.94,2011-09-25,75,Regular
12413.0,67,3,686.1,50-100,0-5,0-2000,CMP004,327.19,1.0969,358.91,2011-10-03,67,Regular
12414.0,217,3,442.41,200-250,0-5,0-2000,CMP026,1285.33,-0.6558,-842.92,2011-05-06,217,Ocasional
12417.0,3,9,3226.1,0-50,5-10,2000-4000,CMP027,863.77,2.7349,2362.33,2011-12-06,3,Regular
12418.0,113,1,668.58,100-150,0-5,0-2000,CMP022,435.33,0.5358,233.25,2011-08-18,113,Regular
12420.0,64,1,600.39,50-100,0-5,0-2000,CMP040,1656.14,-0.6375,-1055.75,2011-10-06,64,Regular
12421.0,16,4,639.04,0-50,0-5,0-2000,CMP014,474.66,0.3463,164.38,2011-11-23,16,Regular
12422.0,96,3,683.5600000000001,50-100,0-5,0-2000,CMP019,593.24,0.1522,90.32,2011-09-04,96,Regular
